hour_beginning,location,Pedestrians,Towards Manhattan,Towards Brooklyn,weather_summary,temperature,precipitation,lat,long,events
10/01/17,Brooklyn Bridge,44,30,14,clear-night,52,0.0001,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,30,17,13,partly-cloudy-night,53,0.0002,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,25,13,12,partly-cloudy-night,52,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,20,11,9,partly-cloudy-night,51,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,18,10,8,partly-cloudy-night,51,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,16,12,4,partly-cloudy-night,50,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,113,88,25,partly-cloudy-night,49,0.0001,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,199,72,127,clear-day,49,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,261,133,128,clear-day,50,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,845,504,341,clear-day,54,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,2478,1906,572,clear-day,57,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,3006,1277,1729,clear-day,60,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,2263,1233,1030,clear-day,62,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,2616,1447,1169,clear-day,64,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,2463,1339,1124,clear-day,65,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,2245,1189,1056,clear-day,66,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,2764,1040,1724,clear-day,67,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,2247,1140,1107,clear-day,67,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,2142,1091,1051,clear-day,66,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,899,298,601,clear-night,62,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,481,143,338,clear-night,59,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,275,117,158,clear-night,57,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,133,53,80,clear-night,55,0,40.70816397,-73.9995087,
10/01/17,Brooklyn Bridge,104,68,36,clear-night,54,0,40.70816397,-73.9995087,
10/02/17,Brooklyn Bridge,60,20,40,clear-night,53,0,40.70816397,-73.9995087,
10/02/17,Brooklyn Bridge,27,15,12,clear-night,52,0,40.70816397,-73.9995087,
10/02/17,Brooklyn Bridge,6,3,3,clear-night,51,0,40.70816397,-73.9995087,
10/02/17,Brooklyn Bridge,8,5,3,clear-night,50,0,40.70816397,-73.9995087,
10/02/17,Brooklyn Bridge,2,0,2,clear-night,49,0,40.70816397,-73.9995087,
10/02/17,Brooklyn Bridge,19,13,6,clear-night,48,0,40.70816397,-73.9995087,
